participant,topic,system,normalized_gain,kgain,pre_acc,post_acc,article_id,article_key,article_version_label,group,student_id,order,category,n_questions
G3a_5,29958,Baseline,0.7499999999999999,0.5,0.3333333333333333,0.8333333333333334,29958,news_2,news_2b,G3a,5,13,Physics,6
G3a_5,29988,Baseline,0.0,0.0,0.3333333333333333,0.3333333333333333,29988,news_2,news_2b,G3a,5,14,Humans,6
G3a_5,30052,Ours,0.49999999999999994,0.3333333333333333,0.3333333333333333,0.6666666666666666,30052,news_0,news_0a,G3a,5,15,Physics,6
G3a_5,30061,Baseline,0.49999999999999994,0.3333333333333333,0.3333333333333333,0.6666666666666666,30061,news_2,news_2b,G3a,5,16,Physics,6
G3a_5,30086,Ours,0.49999999999999994,0.3333333333333333,0.3333333333333333,0.6666666666666666,30086,news_0,news_0a,G3a,5,17,Space,6
G3a_5,30184,Ours,1.0,0.6666666666666666,0.3333333333333333,1.0,30184,news_0,news_0a,G3a,5,18,Tech,6
G3a_5,30214,Baseline,0.6666666666666667,0.3333333333333333,0.5,0.8333333333333334,30214,news_2,news_2b,G3a,5,19,Space,6
G3a_5,30708,Baseline,0.0,0.0,0.8333333333333334,0.8333333333333334,30708,news_2,news_2b,G3a,5,20,Tech,6
G3a_6,29734,Baseline,1.0,0.3333333333333333,0.6666666666666666,1.0,29734,news_2,news_2b,G3a,6,2,Space,6
G3a_6,29753,Baseline,1.0,0.3333333333333333,0.6666666666666666,1.0,29753,news_2,news_2b,G3a,6,4,Health,6
G3a_6,29846,Baseline,0.33333333333333326,0.16666666666666666,0.5,0.6666666666666666,29846,news_2,news_2b,G3a,6,7,Nature,6
G3a_6,29873,Ours,1.0,0.16666666666666666,0.8333333333333334,1.0,29873,news_0,news_0a,G3a,6,9,Humans,6
G3a_6,29929,Ours,1.0,0.3333333333333333,0.6666666666666666,1.0,29929,news_0,news_0a,G3a,6,11,Physics,6
G3a_6,29943,Baseline,1.0,0.3333333333333333,0.6666666666666666,1.0,29943,news_2,news_2b,G3a,6,12,Tech,6
G3a_6,29958,Baseline,1.0,0.16666666666666666,0.8333333333333334,1.0,29958,news_2,news_2b,G3a,6,13,Physics,6
G3a_6,29988,Baseline,1.0,0.16666666666666666,0.8333333333333334,1.0,29988,news_2,news_2b,G3a,6,14,Humans,6
G3a_6,30052,Ours,1.0,0.16666666666666666,0.8333333333333334,1.0,30052,news_0,news_0a,G3a,6,15,Physics,6
